               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.056181,            0.069109,                   0,             0.85048,             0.81898,             0.89455,             0.44579,            0.038151,            0.074733,                   0,           0.0061309,           0.0061309,            0.036031
                  39,            0.052845,              0.0673,                   0,              0.8214,             0.86629,             0.90398,             0.48537,            0.035004,            0.071348,                   0,           0.0062646,           0.0062646,            0.034365
                  40,            0.051448,            0.071591,                   0,             0.81612,              0.8801,             0.87902,             0.45386,            0.036836,            0.068697,                   0,           0.0063972,           0.0063972,            0.032697
                  41,            0.050165,            0.074769,                   0,             0.80393,             0.73784,             0.81423,             0.38457,            0.044995,            0.073404,                   0,           0.0065285,           0.0065285,            0.031028
                  42,            0.055296,            0.067778,                   0,             0.84717,              0.8411,             0.89972,              0.4851,            0.038661,             0.06769,                   0,           0.0066586,           0.0066586,            0.029359
                  43,              0.0511,            0.068228,                   0,             0.81631,             0.83831,             0.89008,             0.47798,            0.036099,            0.074764,                   0,           0.0067876,           0.0067876,            0.027688
                  44,            0.046972,            0.068851,                   0,             0.85805,             0.86936,              0.9169,             0.51963,            0.033702,            0.067856,                   0,           0.0069153,           0.0069153,            0.026015
                  45,            0.046977,            0.064999,                   0,             0.87463,             0.86335,             0.92705,             0.52779,            0.034421,            0.064237,                   0,           0.0070419,           0.0070419,            0.024342
                  46,            0.046349,             0.06836,                   0,             0.87427,              0.8739,             0.93135,             0.50281,            0.034678,            0.065262,                   0,           0.0071673,           0.0071673,            0.022667
                  47,            0.045296,            0.067334,                   0,             0.84613,              0.8597,             0.91571,             0.47729,            0.034981,            0.067793,                   0,           0.0072915,           0.0072915,            0.020991
                  48,            0.045126,            0.070273,                   0,             0.80065,             0.87493,             0.90798,             0.51517,            0.031962,            0.073698,                   0,           0.0074145,           0.0074145,            0.019314
                  49,            0.043492,            0.065849,                   0,             0.81185,             0.78679,             0.84791,             0.47873,             0.03722,            0.079045,                   0,           0.0075363,           0.0075363,            0.017636
                  50,            0.041761,             0.06899,                   0,             0.83776,              0.8225,             0.88738,               0.512,            0.033607,            0.075407,                   0,            0.007657,            0.007657,            0.015957
                  51,            0.045411,            0.067106,                   0,             0.79275,             0.73931,              0.8166,             0.42046,            0.040335,            0.079942,                   0,           0.0077764,           0.0077764,            0.014276
                  52,            0.040043,            0.067963,                   0,             0.73435,             0.69473,             0.74741,             0.39992,            0.045011,            0.082104,                   0,           0.0078947,           0.0078947,            0.012595
                  53,            0.038941,            0.064728,                   0,             0.84142,             0.84564,              0.8962,             0.49893,             0.03384,             0.07141,                   0,           0.0080117,           0.0080117,            0.010912
                  54,            0.042646,            0.067247,                   0,             0.83824,             0.80217,             0.86878,             0.50254,            0.034068,            0.071084,                   0,           0.0081276,           0.0081276,           0.0092276
                  55,            0.038801,             0.06692,                   0,             0.85988,             0.86116,             0.92206,             0.53242,            0.031198,            0.064867,                   0,            0.008185,            0.008185,            0.008185
                  56,            0.039981,            0.066051,                   0,             0.88636,             0.83276,             0.91794,             0.53269,             0.03192,            0.067887,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.038499,            0.064529,                   0,             0.84724,             0.88401,             0.92519,             0.53942,            0.030681,            0.066077,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.038553,            0.064749,                   0,             0.88228,             0.85618,             0.93352,             0.56579,            0.029836,             0.06179,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.037733,            0.063329,                   0,              0.8719,             0.86928,             0.93021,             0.56491,            0.029056,            0.066845,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.037266,            0.065516,                   0,             0.83819,             0.84971,             0.90723,             0.50498,            0.032449,            0.070223,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.036089,             0.06395,                   0,               0.876,             0.85706,             0.92513,             0.56962,            0.029372,            0.064615,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.036569,             0.06381,                   0,             0.86514,             0.84432,             0.91162,             0.55609,            0.030784,            0.070272,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.036831,            0.063947,                   0,             0.88667,             0.88196,             0.94131,             0.57496,            0.028752,            0.062284,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.03448,            0.062048,                   0,             0.86428,             0.88503,             0.93319,             0.58985,             0.02711,            0.061364,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.03433,            0.062887,                   0,              0.8718,             0.83956,             0.91833,             0.57064,            0.028622,            0.066234,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.03375,            0.062927,                   0,             0.84079,             0.87478,             0.92402,             0.56598,            0.028757,            0.063664,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.034347,            0.059835,                   0,             0.88341,             0.87302,             0.93842,             0.58238,            0.028209,             0.06109,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.03429,            0.062083,                   0,             0.88994,             0.88703,             0.95104,             0.59845,            0.026766,            0.058791,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.034457,            0.061798,                   0,             0.87725,             0.89908,             0.94317,             0.60869,            0.026257,            0.059511,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.034829,            0.059767,                   0,             0.83944,              0.7542,             0.84201,             0.49966,            0.036032,            0.072887,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.036325,            0.060076,                   0,             0.85748,             0.87083,             0.92647,             0.57701,            0.027655,            0.062087,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.032869,            0.059337,                   0,             0.87722,             0.89148,             0.94639,               0.603,            0.026131,            0.059129,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.032531,            0.059571,                   0,             0.88711,             0.89306,             0.94793,             0.61762,            0.025374,            0.058216,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.032553,            0.058692,                   0,             0.88242,             0.87928,             0.94332,              0.6128,            0.025872,            0.061618,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.034287,            0.059713,                   0,             0.88781,             0.85069,             0.93294,             0.61313,             0.02533,            0.062023,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.032767,            0.059622,                   0,             0.86147,             0.88618,              0.9344,             0.59686,            0.027369,            0.066425,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.031318,            0.059456,                   0,               0.866,             0.90676,             0.94738,             0.61046,            0.025901,            0.060218,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.033958,            0.058745,                   0,             0.88493,             0.86409,             0.93346,             0.59184,             0.02755,            0.064196,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.033485,            0.059642,                   0,             0.86865,             0.87566,             0.93278,             0.60726,             0.02653,            0.061766,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.03166,            0.059028,                   0,             0.87093,             0.88742,             0.93724,             0.60592,            0.026981,            0.061527,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.033206,            0.057809,                   0,             0.88276,             0.86175,             0.93239,             0.59129,            0.028332,            0.064238,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.033282,            0.057316,                   0,             0.88714,             0.87947,             0.94139,             0.59482,            0.027781,            0.063497,                   0,            0.007327,            0.007327,            0.007327
                  83,             0.03181,            0.058822,                   0,             0.88736,             0.85574,             0.93095,             0.60072,            0.026498,            0.060352,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.031645,            0.056625,                   0,             0.87687,             0.87346,             0.93646,             0.58964,            0.027952,            0.065125,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.031562,            0.057797,                   0,             0.89804,             0.88366,             0.94805,             0.61407,             0.02642,            0.061828,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.032469,            0.058428,                   0,             0.91009,             0.89245,             0.95556,             0.61201,            0.026145,            0.057513,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.031276,            0.058761,                   0,             0.85584,             0.85121,             0.91668,              0.5686,            0.029203,            0.069589,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.030607,            0.058221,                   0,             0.89009,              0.8682,             0.94043,             0.61288,            0.026589,             0.06435,                   0,            0.007129,            0.007129,            0.007129
